Commodity I-O code,Industry I-O code,input
114100,31161A,241.9
114100,311700,3065.9
114100,325310,23.7
114100,483000,2
114100,48A000,0.9
114100,4A0000,453.4
114100,541700,5.8
114100,550000,0.2
114100,611100,32.5
114100,611A00,26.2
114100,622000,24.5
114100,623000,24.8
114100,624200,9.3
114100,624A00,4.6
114100,711200,0.2
114100,712000,1.1
114100,713940,11.5
114100,713950,2
114100,713A00,19
114100,713B00,43
114100,7211A0,144.2
114100,721A00,8.9
114100,722000,2572.7
114100,813100,8.9
114100,813B00,61.3
114100,F01000,2345
114100,F03000,53.9
114100,F04000,2339.3
114100,F05000,-8954.2
114100,S00102,2.4
114100,S00700,74.8
114200,F01000,2421.5
114200,F03000,3.3
115000,1111A0,802.6
115000,1111B0,2554.5
115000,111200,1808.3
115000,111335,326.2
115000,1113A0,1616.3
115000,111400,730.9
115000,111910,108.3
115000,111920,351.3
115000,1119A0,152.6
115000,1119B0,2309.9
115000,112120,502.9
115000,1121A0,538.8
115000,112300,314.5
115000,112A00,392.2
115000,113300,435.6
115000,113A00,2375.6
115000,114200,20.1
115000,541700,72.2
115000,550000,4.2
115000,F01000,415.8
115000,F04000,21.9
115000,F05000,-181.9
115000,S00700,400.3
211000,211000,1989.9
211000,212100,0.2
211000,212210,0.1
211000,2122A0,0.1
211000,212310,0.1
211000,212320,0.1
211000,212390,0.1
211000,213111,0.1
211000,213112,0.1
211000,221100,14286
211000,221200,34299.9
211000,311111,0.1
211000,311119,0.2
211000,311221,0.6
211000,311225,0.2
211000,31122A,0.2
211000,311230,0.2
211000,311313,0.1
211000,31131A,0.2
211000,311410,0.3
211000,311420,0.4
211000,311513,0.2
211000,311514,0.1
211000,31151A,0.2
211000,311615,0.3
211000,31161A,0.7
211000,311700,0.2
211000,311810,0.3
211000,311820,0.2
211000,311910,0.2
211000,311990,0.2
211000,312110,0.3
211000,312120,0.4
211000,3122A0,0.2
211000,313100,0.2
211000,313210,0.3
211000,313230,0.2
211000,313240,0.2
211000,313310,0.6
211000,313320,0.1
211000,314110,0.4
211000,314120,0.1
211000,314990,0.2
211000,321100,1.6
211000,321219,1.5
211000,32121A,0.7
211000,32121B,0.2
211000,321910,0.5
211000,321920,0.2
211000,321991,0.1
211000,321992,0.1
211000,321999,0.2
211000,322110,0.3
211000,322120,2.4
211000,322130,2
211000,322210,0.2
211000,32222A,0.1
211000,322291,0.1
211000,323110,0.9
211000,324110,125784.2
211000,324121,0.9
211000,324122,0.2
211000,324191,195.7
211000,324199,111.4
211000,325110,132.1
211000,325120,25
211000,325130,31
211000,325181,47.3
211000,325182,1.6
211000,325188,135
211000,325190,473.8
211000,325211,99.8
211000,325212,13.6
211000,325220,16.5
211000,325310,38.3
211000,325320,3.7
211000,325411,6.8
211000,325412,18.8
211000,325413,0.6
211000,325414,2.4
211000,325510,3.9
211000,325520,2.9
211000,325610,13.7
211000,325620,29.7
211000,325910,0.6
211000,3259A0,26.2
211000,326110,0.9
211000,326121,0.1
211000,326122,0.1
211000,326130,0.2
211000,326140,0.5
211000,326150,0.2
211000,326160,0.1
211000,32619A,1.5
211000,326210,0.8
211000,326220,0.1
211000,326290,0.5
211000,32712A,0.1
211000,327211,0.2
211000,327212,0.2
211000,327213,0.2
211000,327310,0.4
211000,327320,0.1
211000,3274A0,0.3
211000,327992,0.1
211000,327993,0.1
211000,331110,1
211000,33131A,2.3
211000,33131B,0.2
211000,331510,0.1
211000,33211A,0.3
211000,33211B,0.1
211000,332310,0.1
211000,332320,0.2
211000,332430,0.1
211000,332500,0.1
211000,332600,0.1
211000,332710,0.1
211000,332720,0.1
211000,332800,0.7
211000,332991,0.1
211000,33299C,0.2
211000,333111,0.2
211000,333112,0.1
211000,333120,0.3
211000,333130,0.1
211000,33329A,0.1
211000,333319,0.1
211000,333414,0.1
211000,333415,0.2
211000,333511,0.1
211000,333514,0.1
211000,333515,0.1
211000,333611,0.1
211000,333612,0.1
211000,333613,0.1
211000,333618,0.2
211000,333911,0.1
211000,333920,0.3
211000,33399A,0.2
211000,335312,0.1
211000,335911,0.1
211000,335920,0.1
211000,335991,0.1
211000,336111,0.4
211000,336112,0.5
211000,336120,0.6
211000,336300,1.3
211000,336411,0.1
211000,336412,0.1
211000,336413,0.2
211000,336500,0.1
211000,336611,0.1
211000,337110,0.2
211000,337121,0.1
211000,337122,0.1
211000,337127,0.1
211000,337212,0.3
211000,337215,0.2
211000,339112,0.1
211000,339113,0.1
211000,339920,0.1
211000,339950,0.1
211000,339991,0.1
211000,33999A,0.1
211000,420000,71
211000,484000,0.2
211000,486000,1101.9
211000,493000,5.6
211000,4A0000,69.9
211000,511110,1.7
211000,511120,0.4
211000,511130,0.8
211000,5111A0,0.3
211000,511200,0.5
211000,512100,1.7
211000,512200,0.1
211000,515100,5.7
211000,515200,2.2
211000,516110,0.1
211000,517000,78.6
211000,518100,0.1
211000,518200,0.7
211000,519100,0.3
211000,523000,2.2
211000,524100,0.1
211000,524200,4.6
211000,531000,5.7
211000,532100,0.9
211000,532230,0.8
211000,532400,4.4
211000,532A00,2.5
211000,533000,17.8
211000,541100,4
211000,541200,2.8
211000,541300,75.4
211000,541400,0.4
211000,541511,1
211000,541512,0.4
211000,54151A,0.3
211000,541610,1.1
211000,5416A0,0.5
211000,541700,11.8
211000,541800,1.9
211000,541920,0.5
211000,541940,1.7
211000,5419A0,2.4
211000,550000,40.4
211000,561100,1.8
211000,561200,0.8
211000,561300,2.7
211000,561400,1.8
211000,561500,9.8
211000,561600,0.8
211000,561700,5.8
211000,561900,3.2
211000,562000,6.9
211000,611100,0.1
211000,611A00,2.5
211000,611B00,3.8
211000,621600,0.7
211000,621A00,11.3
211000,621B00,4.8
211000,622000,7.3
211000,623000,30.3
211000,624200,2.7
211000,624400,3.9
211000,624A00,6.8
211000,711100,0.5
211000,711200,1.1
211000,711500,0.3
211000,711A00,0.9
211000,712000,2
211000,713940,5.7
211000,713950,1
211000,713A00,1.3
211000,713B00,8.3
211000,7211A0,40.7
211000,721A00,2.7
211000,722000,88.5
211000,811192,4.1
211000,8111A0,10.6
211000,811200,1.3
211000,811300,1.8
211000,811400,1.7
211000,812100,2.5
211000,812200,3.6
211000,812300,5.4
211000,812900,3.8
211000,813A00,1.1
211000,813B00,16.8
211000,F03000,-2337.6
211000,F04000,1479
211000,F05000,-92903
211000,S00101,32.6
211000,S00102,11.6
211000,S00202,938.4
211000,S00203,2388.1
212100,112300,118.4
212100,113300,0.4
212100,211000,125.4
212100,212100,1199.4
212100,212210,10.9
212100,212230,9.4
212100,2122A0,13.8
212100,212310,29
212100,212320,29.2
212100,212390,16.6
212100,213111,14.8
212100,213112,26.7
212100,21311A,7.5
212100,221100,13182
212100,311111,5.9
212100,311119,9.8
212100,311210,6.2
212100,311221,36
212100,311225,6.1
212100,31122A,14.8
212100,311230,4.4
212100,311313,7.3
212100,31131A,7.5
212100,311320,1
212100,311330,2.5
212100,311340,2.5
212100,311410,13.9
212100,311420,26.1
212100,311513,10.3
212100,311514,6.7
212100,31151A,10.2
212100,311520,1.2
212100,311615,13.3
212100,31161A,35.3
212100,311700,6.3
212100,311810,20.7
212100,311820,5.9
212100,311830,1.5
212100,311910,10.2
212100,311920,1.9
212100,311930,1
212100,311940,2.3
212100,311990,8.4
212100,312110,8.1
212100,312120,11.2
212100,312130,1.7
212100,312140,1.3
212100,3122A0,5.8
212100,313100,2.2
212100,313210,5.2
212100,313220,0.6
212100,313230,3
212100,313240,2.9
212100,313310,10.4
212100,313320,1.1
212100,314110,2.1
212100,314120,0.5
212100,314910,0.1
212100,314990,0.9
212100,315100,0.5
212100,315210,0.1
212100,315220,0.5
212100,315230,0.4
212100,315900,0.1
212100,321100,0.6
212100,321219,0.5
212100,32121A,0.3
212100,32121B,0.1
212100,321910,0.3
212100,321920,0.1
212100,321999,0.1
212100,322110,15.9
212100,322120,129.1
212100,322130,103.8
212100,322210,17
212100,32222A,7.3
212100,32222B,1.6
212100,322230,0.8
212100,322291,3.5
212100,322299,2.2
212100,324110,99.4
212100,324121,5.8
212100,324122,1.2
212100,324191,0.8
212100,324199,0.6
212100,325110,19.5
212100,325120,2.7
212100,325130,2.1
212100,325181,4.6
212100,325182,0.3
212100,325188,5.6
212100,325190,37.2
212100,325211,14.9
212100,325212,2
212100,325220,2.5
212100,325310,5.9
212100,325320,0.6
212100,325411,1.1
212100,325412,2.9
212100,325413,0.1
212100,325414,0.4
212100,325510,0.6
212100,325520,0.5
212100,325610,2.1
212100,325620,4.4
212100,325910,0.1
212100,3259A0,3.3
212100,326110,5.2
212100,326121,0.7
212100,326122,0.3
212100,326130,0.9
212100,326140,2.6
212100,326150,0.9
212100,326160,0.5
212100,32619A,7.3
212100,326210,4.2
212100,326220,0.8
212100,326290,2.6
212100,32711A,8.5
212100,32712A,26.4
212100,32712B,5.4
212100,327211,27.2
212100,327212,24.8
212100,327213,30.5
212100,327215,7.1
212100,327310,67.8
212100,327320,19.3
212100,327330,4.7
212100,327390,6.4
212100,3274A0,51.8
212100,327910,3.2
212100,327991,1.2
212100,327992,8.8
212100,327993,21
212100,327999,2.3
212100,331110,1295.4
212100,331200,15.7
212100,331314,8
212100,33131A,27.3
212100,33131B,33.7
212100,331411,4.6
212100,331419,5.2
212100,331420,6.9
212100,331490,8.8
212100,331510,26.5
212100,331520,19.4
212100,33211A,0.2
212100,33211B,0.1
212100,33221B,0.1
212100,332310,0.2
212100,332320,0.3
212100,332410,0.1
212100,332420,0.1
212100,332430,0.1
212100,332500,0.1
212100,332600,0.1
212100,332710,0.1
212100,332720,0.2
212100,332800,0.4
212100,33291A,0.1
212100,332991,0.1
212100,332996,0.1
212100,33299C,0.1
212100,333111,0.1
212100,333112,0.1
212100,333120,0.1
212100,333130,0.2
212100,333220,0.1
212100,333295,0.1
212100,33329A,0.4
212100,333314,0.1
212100,333319,0.1
212100,333414,0.1
212100,333415,0.1
212100,33341A,0.2
212100,333511,0.1
212100,333514,0.1
212100,333515,0.1
212100,33351A,0.2
212100,333611,0.2
212100,333613,0.1
212100,333618,0.1
212100,333911,0.1
212100,333912,0.1
212100,333920,0.3
212100,333993,0.1
212100,333994,0.1
212100,33399A,0.2
212100,33399B,0.1
212100,335110,0.1
212100,335120,0.2
212100,335210,0.1
212100,335221,0.1
212100,335222,0.1
212100,335224,0.1
212100,335228,0.1
212100,335311,0.1
212100,335312,0.1
212100,335313,0.1
212100,335314,0.1
212100,335911,0.1
212100,335920,0.1
212100,335930,0.2
212100,335991,0.1
212100,335999,0.1
212100,336111,1
212100,336112,1.3
212100,336120,1.6
212100,336211,0.1
212100,336212,0.1
212100,336213,0.1
212100,336214,0.1
212100,336300,4.1
212100,336411,0.5
212100,336412,0.5
212100,336413,0.6
212100,336414,0.1
212100,33641A,0.2
212100,336500,0.1
212100,336611,0.2
212100,336612,0.1
212100,336991,0.1
212100,336999,0.1
212100,337110,0.3
212100,337121,0.1
212100,337122,0.3
212100,337127,0.1
212100,33712A,0.2
212100,337212,0.4
212100,337215,0.3
212100,337910,0.1
212100,337920,0.1
212100,420000,4.1
212100,483000,9.2
212100,48A000,0.5
212100,493000,2.6
212100,4A0000,7.3
212100,511110,0.1
212100,511130,0.1
212100,512100,0.1
212100,515100,0.3
212100,515200,0.1
212100,517000,4.7
212100,523000,0.2
212100,524200,0.3
212100,52A000,0.4
212100,531000,46.9
212100,532100,0.1
212100,532230,0.1
212100,532400,0.3
212100,541100,0.3
212100,541200,0.3
212100,541300,6.6
212100,541511,0.1
212100,541700,40.2
212100,541800,0.2
212100,541920,0.1
212100,541940,0.1
212100,5419A0,0.2
212100,550000,3.8
212100,561100,0.1
212100,561200,0.1
212100,561300,0.3
212100,561400,0.1
212100,561500,0.6
212100,561700,0.4
212100,561900,0.2
212100,562000,0.5
212100,611A00,0.2
212100,611B00,0.1
212100,621A00,0.8
212100,621B00,0.4
212100,622000,0.6
212100,623000,1.9
212100,624200,0.1
212100,624400,0.3
212100,624A00,0.5
212100,711200,0.1
212100,712000,0.1
212100,713940,0.4
212100,713950,0.1
212100,713A00,0.1
212100,713B00,0.6
212100,7211A0,2.3
212100,721A00,0.3
212100,722000,16.5
212100,811192,0.2
212100,8111A0,0.6
212100,811200,0.2
212100,811300,0.1
212100,811400,0.1
212100,812100,0.1
212100,812200,0.2
212100,812300,0.3
212100,812900,0.2
212100,813A00,0.1
212100,813B00,1.1
212100,F01000,13.9
212100,F03000,-497.9
212100,F04000,938.3
212100,F05000,-647.4
212100,S00202,2845
212100,S00203,0.1
212100,S00600,67.6
212100,S00700,51.6
212210,212210,17.4
212210,2122A0,0.6
212210,325120,5.8
212210,325188,95.9
212210,331110,1840.9
212210,541300,10.4
212210,541700,11.7
212210,550000,0.4
212210,F03000,6.8
212210,F04000,157.9
212210,F05000,-374.8
212230,2122A0,4.3
212230,325120,47
212230,325188,502.3
212230,325190,1.8
212230,325510,6.3
212230,32711A,5.6
212230,32712B,4.5
212230,327992,2.8
212230,331110,8.3
212230,331314,7.9
212230,331411,307.6
212230,331419,109.6
212230,331420,8.6
212230,331490,107
212230,332600,26.9
212230,332800,19.7
212230,33299C,7.7
212230,333111,5.6
212230,333130,8
212230,33351A,2.6
212230,334210,2
212230,334300,2
212230,335312,2.7
212230,335314,2.3
212230,336412,3.4
212230,339113,2.2
212230,511110,5.4
212230,511130,12.4
212230,5111A0,9.1
212230,512100,9.9
212230,512200,14.1
212230,515100,7.7
212230,515200,1.7
212230,516110,22.3
212230,518100,17.3
212230,518200,2.4
212230,519100,2.3
212230,531000,82.5
212230,532100,4.9
212230,532230,35.2
212230,532400,28.1
212230,532A00,52
212230,541300,13.9
212230,541700,8.3
212230,550000,0.3
212230,561600,21
